단어,빈도,category
아마,5.462696824581858,신나는
너무나,5.453981100503805,신나는
말야,5.453955889392015,신나는
하면,5.4505322043614175,신나는
빛을,5.440433767499633,신나는
잊지,5.414588777489887,신나는
꿈이,5.414352701639901,신나는
이름,5.404564030523976,신나는
어쩜,5.404441659277278,신나는
큰,5.39811306762734,신나는
종일,5.396056531027657,신나는
근데,5.383988895463911,신나는
믿고,5.379486712709015,신나는
잠시,5.37167185955756,신나는
떠,5.369699330867297,신나는
달려가,5.367705968848958,신나는
말아줘,5.3606520038921985,신나는
기분이,5.337409583648296,신나는
타고,5.333211240662634,신나는
벌써,5.3249794910668795,신나는
곳,5.317352665263663,신나는
달려,5.315914722880492,신나는
파도,5.288011569812977,신나는
싶지,5.2806515566423515,신나는
길,5.273953943859868,신나는
완벽한,5.267152510835883,신나는
않는,5.261244109456685,신나는
서,5.260836066285304,신나는
가장,5.260562520504019,신나는
그댄,5.259673204979533,신나는
몸이,5.250956524252457,신나는
버린,5.248586443206152,신나는
꽉,5.243206620993795,신나는
거기,5.234156488516782,신나는
멋대로,5.216793114627866,신나는
잠깐,5.213882379406821,신나는
올라가,5.17010115423405,신나는
반짝이는,5.167862802299364,신나는
쉿,5.164894419232958,신나는
보이는,5.1582662146786,신나는
너랑,5.15703941954694,신나는
있다면,5.15669645270211,신나는
모르겠어,5.149277478653695,신나는
기억해,5.1378470460968195,신나는
만나,5.1375789787641555,신나는
멈춰,5.133669987310436,신나는
어디,5.131358343956286,신나는
잊고,5.128102873060498,신나는
있던,5.126783856864891,신나는
어둠,5.0817785116164,신나는
내일,5.078883996732215,신나는
바보,5.076668061479974,신나는
얘기,5.074914961171965,신나는
건지,5.0745208694447355,신나는
그건,5.069994377606477,신나는
솔직히,5.046493369004405,신나는
그대여,5.02285412800069,신나는
별이,5.005779289832725,신나는
많아,5.0049078207782784,신나는
느낄,5.002218744062189,신나는
그래서,5.00174473734325,신나는
사는,4.99716432719731,신나는
차가운,4.996324721748241,신나는
힘이,4.993172178559487,신나는
이리,4.977582868988083,신나는
못한,4.969146743959895,신나는
돌고,4.957832326095884,신나는
미소,4.952069278273268,신나는
말해봐,4.941622511225976,신나는
만난,4.907817411199675,신나는
움직여,4.902903233288011,신나는
짜릿한,4.887585811545878,신나는
안에서,4.869815854717536,신나는
굳이,4.866775138431535,신나는
말도,4.846994043821243,신나는
